Data;Região;Tipologia;Nº Utentes;ID
2020-01-31;LISBOA E VALE DO TEJO;RAMa;14;2020-01-31T00:00:00/LISBOA E VALE DO TEJO/RAMa
2020-01-31;LISBOA E VALE DO TEJO;RTA;4;2020-01-31T00:00:00/LISBOA E VALE DO TEJO/RTA
2020-01-31;LISBOA E VALE DO TEJO;UMDR;209;2020-01-31T00:00:00/LISBOA E VALE DO TEJO/UMDR
2020-01-31;NORTE;UMDR;196;2020-01-31T00:00:00/NORTE/UMDR
2020-01-30;ALENTEJO;UCP;10;2020-01-30T00:00:00/ALENTEJO/UCP
2020-01-30;ALGARVE;ECCI;5;2020-01-30T00:00:00/ALGARVE/ECCI
2020-01-30;ALGARVE;UMDR;7;2020-01-30T00:00:00/ALGARVE/UMDR
2020-01-30;CENTRO;ULDM;309;2020-01-30T00:00:00/CENTRO/ULDM
2020-01-30;CENTRO;UMDR;97;2020-01-30T00:00:00/CENTRO/UMDR
2020-01-30;LISBOA E VALE DO TEJO;RTA;4;2020-01-30T00:00:00/LISBOA E VALE DO TEJO/RTA
2020-01-30;CENTRO;RAMo;2;2020-01-30T00:00:00/CENTRO/RAMo
2020-01-30;LISBOA E VALE DO TEJO;RA;2;2020-01-30T00:00:00/LISBOA E VALE DO TEJO/RA
2020-01-30;LISBOA E VALE DO TEJO;RAMa;14;2020-01-30T00:00:00/LISBOA E VALE DO TEJO/RAMa
2020-01-30;NORTE;UC;41;2020-01-30T00:00:00/NORTE/UC
2020-01-30;NORTE;UCP;14;2020-01-30T00:00:00/NORTE/UCP
2020-01-30;ALENTEJO;RAMo;4;2020-01-30T00:00:00/ALENTEJO/RAMo
2020-01-30;ALENTEJO;UC;56;2020-01-30T00:00:00/ALENTEJO/UC
2020-01-30;ALENTEJO;UMDR;25;2020-01-30T00:00:00/ALENTEJO/UMDR
2020-01-30;LISBOA E VALE DO TEJO;RAMo;12;2020-01-30T00:00:00/LISBOA E VALE DO TEJO/RAMo
2020-01-30;NORTE;RAMa;20;2020-01-30T00:00:00/NORTE/RAMa
2020-01-30;ALENTEJO;ECCI;19;2020-01-30T00:00:00/ALENTEJO/ECCI
2020-01-30;ALENTEJO;ULDM;82;2020-01-30T00:00:00/ALENTEJO/ULDM
2020-01-30;ALGARVE;UC;13;2020-01-30T00:00:00/ALGARVE/UC
2020-01-30;CENTRO;UC;62;2020-01-30T00:00:00/CENTRO/UC
2020-01-30;LISBOA E VALE DO TEJO;UCP;29;2020-01-30T00:00:00/LISBOA E VALE DO TEJO/UCP
2020-01-30;NORTE;ECCI;171;2020-01-30T00:00:00/NORTE/ECCI
2020-01-30;NORTE;UMDR;188;2020-01-30T00:00:00/NORTE/UMDR
2020-01-30;ALGARVE;ULDM;38;2020-01-30T00:00:00/ALGARVE/ULDM
2020-01-30;CENTRO;ECCI;46;2020-01-30T00:00:00/CENTRO/ECCI
2020-01-30;LISBOA E VALE DO TEJO;ECCI;27;2020-01-30T00:00:00/LISBOA E VALE DO TEJO/ECCI
2020-01-30;LISBOA E VALE DO TEJO;UC;111;2020-01-30T00:00:00/LISBOA E VALE DO TEJO/UC
2020-01-30;LISBOA E VALE DO TEJO;ULDM;279;2020-01-30T00:00:00/LISBOA E VALE DO TEJO/ULDM
2020-01-30;LISBOA E VALE DO TEJO;UMDR;199;2020-01-30T00:00:00/LISBOA E VALE DO TEJO/UMDR
2020-01-30;NORTE;ULDM;117;2020-01-30T00:00:00/NORTE/ULDM
2020-01-29;ALENTEJO;UCP;7;2020-01-29T00:00:00/ALENTEJO/UCP
2020-01-29;CENTRO;UC;51;2020-01-29T00:00:00/CENTRO/UC
2020-01-29;LISBOA E VALE DO TEJO;UMDR;189;2020-01-29T00:00:00/LISBOA E VALE DO TEJO/UMDR
2020-01-29;NORTE;UCP;12;2020-01-29T00:00:00/NORTE/UCP
2020-01-29;ALENTEJO;UC;54;2020-01-29T00:00:00/ALENTEJO/UC
2020-01-29;ALENTEJO;ULDM;82;2020-01-29T00:00:00/ALENTEJO/ULDM
2020-01-29;CENTRO;UMDR;82;2020-01-29T00:00:00/CENTRO/UMDR
2020-01-29;LISBOA E VALE DO TEJO;ECCI;15;2020-01-29T00:00:00/LISBOA E VALE DO TEJO/ECCI
2020-01-29;LISBOA E VALE DO TEJO;RAMo;12;2020-01-29T00:00:00/LISBOA E VALE DO TEJO/RAMo
2020-01-29;LISBOA E VALE DO TEJO;RTA;4;2020-01-29T00:00:00/LISBOA E VALE DO TEJO/RTA
2020-01-29;NORTE;UMDR;170;2020-01-29T00:00:00/NORTE/UMDR
2020-01-29;NORTE;USO;2;2020-01-29T00:00:00/NORTE/USO
2020-01-29;ALENTEJO;ECCI;18;2020-01-29T00:00:00/ALENTEJO/ECCI
2020-01-29;ALENTEJO;RAMo;4;2020-01-29T00:00:00/ALENTEJO/RAMo
2020-01-29;NORTE;RAMa;20;2020-01-29T00:00:00/NORTE/RAMa
2020-01-29;NORTE;UC;30;2020-01-29T00:00:00/NORTE/UC
2020-01-29;NORTE;ULDM;110;2020-01-29T00:00:00/NORTE/ULDM
2020-01-29;ALGARVE;UC;13;2020-01-29T00:00:00/ALGARVE/UC
2020-01-29;ALGARVE;ULDM;36;2020-01-29T00:00:00/ALGARVE/ULDM
2020-01-29;ALGARVE;UMDR;8;2020-01-29T00:00:00/ALGARVE/UMDR
2020-01-29;CENTRO;RAMo;2;2020-01-29T00:00:00/CENTRO/RAMo
2020-01-29;NORTE;ECCI;167;2020-01-29T00:00:00/NORTE/ECCI
2020-01-29;ALENTEJO;UMDR;25;2020-01-29T00:00:00/ALENTEJO/UMDR
2020-01-29;ALGARVE;ECCI;5;2020-01-29T00:00:00/ALGARVE/ECCI
2020-01-29;CENTRO;ECCI;45;2020-01-29T00:00:00/CENTRO/ECCI
2020-01-29;CENTRO;ULDM;294;2020-01-29T00:00:00/CENTRO/ULDM
2020-01-29;LISBOA E VALE DO TEJO;RA;2;2020-01-29T00:00:00/LISBOA E VALE DO TEJO/RA
2020-01-29;LISBOA E VALE DO TEJO;RAMa;14;2020-01-29T00:00:00/LISBOA E VALE DO TEJO/RAMa
2020-01-29;LISBOA E VALE DO TEJO;UC;112;2020-01-29T00:00:00/LISBOA E VALE DO TEJO/UC
2020-01-29;LISBOA E VALE DO TEJO;UCP;26;2020-01-29T00:00:00/LISBOA E VALE DO TEJO/UCP
2020-01-29;LISBOA E VALE DO TEJO;ULDM;269;2020-01-29T00:00:00/LISBOA E VALE DO TEJO/ULDM
2020-01-28;LISBOA E VALE DO TEJO;UC;114;2020-01-28T00:00:00/LISBOA E VALE DO TEJO/UC
2020-01-28;ALENTEJO;UCP;6;2020-01-28T00:00:00/ALENTEJO/UCP
2020-01-28;ALGARVE;UMDR;6;2020-01-28T00:00:00/ALGARVE/UMDR
2020-01-28;CENTRO;ULDM;286;2020-01-28T00:00:00/CENTRO/ULDM
2020-01-28;LISBOA E VALE DO TEJO;RTA;4;2020-01-28T00:00:00/LISBOA E VALE DO TEJO/RTA
2020-01-28;LISBOA E VALE DO TEJO;ULDM;264;2020-01-28T00:00:00/LISBOA E VALE DO TEJO/ULDM
2020-01-28;NORTE;ECCI;172;2020-01-28T00:00:00/NORTE/ECCI
2020-01-28;ALENTEJO;ECCI;13;2020-01-28T00:00:00/ALENTEJO/ECCI
2020-01-28;ALENTEJO;RAMo;4;2020-01-28T00:00:00/ALENTEJO/RAMo
2020-01-28;ALGARVE;ECCI;5;2020-01-28T00:00:00/ALGARVE/ECCI
2020-01-28;ALGARVE;UC;12;2020-01-28T00:00:00/ALGARVE/UC
2020-01-28;ALGARVE;ULDM;36;2020-01-28T00:00:00/ALGARVE/ULDM
2020-01-28;CENTRO;ECCI;45;2020-01-28T00:00:00/CENTRO/ECCI
2020-01-28;CENTRO;UMDR;81;2020-01-28T00:00:00/CENTRO/UMDR
2020-01-28;LISBOA E VALE DO TEJO;RA;2;2020-01-28T00:00:00/LISBOA E VALE DO TEJO/RA
2020-01-28;LISBOA E VALE DO TEJO;RAMa;14;2020-01-28T00:00:00/LISBOA E VALE DO TEJO/RAMa
2020-01-28;LISBOA E VALE DO TEJO;RAMo;12;2020-01-28T00:00:00/LISBOA E VALE DO TEJO/RAMo
2020-01-28;ALENTEJO;UMDR;23;2020-01-28T00:00:00/ALENTEJO/UMDR
2020-01-28;CENTRO;RAMo;2;2020-01-28T00:00:00/CENTRO/RAMo
2020-01-28;CENTRO;UC;51;2020-01-28T00:00:00/CENTRO/UC
2020-01-28;LISBOA E VALE DO TEJO;UCP;26;2020-01-28T00:00:00/LISBOA E VALE DO TEJO/UCP
2020-01-28;LISBOA E VALE DO TEJO;UMDR;189;2020-01-28T00:00:00/LISBOA E VALE DO TEJO/UMDR
2020-01-28;NORTE;RAMa;20;2020-01-28T00:00:00/NORTE/RAMa
2020-01-28;NORTE;UC;25;2020-01-28T00:00:00/NORTE/UC
2020-01-28;NORTE;UCP;14;2020-01-28T00:00:00/NORTE/UCP
2020-01-28;NORTE;UMDR;169;2020-01-28T00:00:00/NORTE/UMDR
2020-01-28;ALENTEJO;UC;50;2020-01-28T00:00:00/ALENTEJO/UC
2020-01-28;ALENTEJO;ULDM;82;2020-01-28T00:00:00/ALENTEJO/ULDM
2020-01-28;LISBOA E VALE DO TEJO;ECCI;17;2020-01-28T00:00:00/LISBOA E VALE DO TEJO/ECCI
2020-01-28;NORTE;ULDM;112;2020-01-28T00:00:00/NORTE/ULDM
2020-01-27;ALENTEJO;ULDM;81;2020-01-27T00:00:00/ALENTEJO/ULDM
2020-01-27;ALENTEJO;UMDR;21;2020-01-27T00:00:00/ALENTEJO/UMDR
2020-01-27;ALGARVE;UMDR;9;2020-01-27T00:00:00/ALGARVE/UMDR
2020-01-27;CENTRO;UC;43;2020-01-27T00:00:00/CENTRO/UC
